Species,mito_copy_c,log_mito_copy_c,plastid_copy_c,log_plastid_copy_c,mito_copy,log_mito_copy,plastid_copy,log_plastid_copy,mt_ds,pt_ds,time (mya),mt_ds_div_mya,log_mt_ds_div_mya,pt_ds_div_mya,log_pt_ds_div_mya,nuc_cov_method,Group,plastome_length,mt_genome_estimate
Abies_sibirica,63.87764836,1.805348919,1000.604152,3.000262301,63.87764836,1.805348919,1000.604152,3.000262301,0.00389,0.029922,84.705216,4.59E-05,-4.337960553,0.000353249,-3.451919536,c,Gymnosperms,121224,865181
Agrostemma_githago,46.94012573,1.671544249,712.0599536,2.852516562,27.11194453,1.433160667,411.4698245,2.614337991,0.004924,0.043474,32.579262,0.000151139,-3.820623198,0.001334407,-2.874711641,seq,Sileneae,151733,216593
Arabidopsis_thaliana,2.375478579,0.375751119,30.02014301,1.477412757,10.01186813,1.000515121,126.5251203,2.102176759,0.051999,0.158364,105.595831,0.000492434,-3.307651781,0.001499718,-2.82399031,seq,Other,154478,367808
Ceratozamia_hildae,116.6980889,2.067063744,1817.727011,3.259528661,116.6980889,2.067063744,1817.727011,3.259528661,0.001331,0.020808,52.603058,2.53E-05,-4.596832936,0.000395566,-3.402780653,c,Gymnosperms,165734,208791
Cupressus_sempervirens,22.2175771,1.346696696,429.222547,2.632682527,22.2175771,1.346696696,429.222547,2.632682527,0.002016,0.006156,19.580369,0.00010296,-3.987330344,0.000314397,-3.502522261,c,Gymnosperms,129150,2000406
Erodium_chrysanthum,17.235426,1.236422022,325.4621118,2.512500438,10.88568551,1.036855783,205.5579127,2.312934199,0.001511,0.014627,1.824351,0.00082824,-3.081843935,0.008017646,-2.095953138,seq,Geraniales,168946,263638
Erodium_gruinum,24.74641805,1.393512345,738.1576214,2.868149108,24.72415703,1.393121493,737.4936005,2.867758256,0.001896,0.004062,1.824351,0.001039274,-2.983270066,0.002226545,-2.65236848,seq,Geraniales,142208,247315
Erodium_moschatum,21.88643741,1.340175075,693.0340998,2.840754604,13.66387936,1.135574019,432.666777,2.636153548,0.001898,0.00988,6.78031,0.000279928,-3.552953342,0.001457161,-2.836492606,seq,Geraniales,199078,235082
Erodium_texanum,20.74878483,1.316992667,894.4240184,2.951543453,9.889656501,0.995181207,426.3163545,2.629731994,0.007246,0.037605,23.542806,0.00030778,-3.511759894,0.001597303,-2.796612631,seq,Geraniales,130812,506761
Erodium_trifolium,32.14732395,1.507144827,491.7062229,2.691705705,22.19994121,1.346351824,339.5570113,2.530912702,0.0038,0.01661,6.78031,0.000560446,-3.251465954,0.00244974,-2.610879918,seq,Geraniales,123865,186896
Geranium_brycei,41.75401891,1.620698284,889.9816143,2.949381035,15.3986784,1.187483449,328.2208759,2.5161662,0.003524,0.002473,1.943769,0.001812973,-2.741608752,0.001272271,-2.895420535,seq,Geraniales,131541,1057616
Geranium_incanum,26.97542728,1.430968332,611.932635,2.786703615,9.358263475,0.971195268,212.2904956,2.326930551,0.00094,0.003455,1.943769,0.000483597,-3.315516798,0.001777475,-2.7501966,seq,Geraniales,166252,752769
Geranium_maderense,52.49489069,1.720117036,961.9990247,2.983174632,13.15677177,1.119149341,241.1053998,2.382206937,0.009616,0.036321,27.130043,0.000354441,-3.450456027,0.001338774,-2.873292685,seq,Geraniales,155694,441181
Geranium_phaeum,45.07671675,1.653952276,751.7457964,2.876071008,38.88388233,1.58976962,648.4677056,2.811888353,0.002279,0.024984,22.736623,0.000100235,-3.998981636,0.001098844,-2.95906399,seq,Geraniales,182317,260444
Geranium_sanguineum,39.15369229,1.592772723,1225.097207,3.08817055,9.767790022,0.989796315,305.6287051,2.485194141,0.003907,0.002616,6.620188,0.000590165,-3.229026911,0.000395155,-3.403232583,seq,Geraniales,134582,934327
Ginkgo_biloba,432.0509208,2.635534935,739.0113559,2.868651112,432.0509208,2.635534935,739.0113559,2.868651112,0.041614,0.088172,298.617259,0.000139356,-3.855875442,0.000295268,-3.529784213,c,Gymnosperms,157002,285030
Gnetum_gnemon,30.00632875,1.477212863,241.1503527,2.382287901,30.00632875,1.477212863,241.1503527,2.382287901,0.038539,0.237857,110.621451,0.000348386,-3.457938909,0.002150189,-2.667523414,c,Gymnosperms,115022,690722
Hesperocyparis_glabra,47.88702366,1.680217845,656.1408138,2.816997053,47.88702366,1.680217845,656.1408138,2.816997053,0.002392,0.009776,19.580369,0.000122163,-3.913059697,0.000499276,-3.301659679,c,Gymnosperms,126993,1677809
Melianthus_villosus,19.35977029,1.2869002,617.240568,2.790454462,24.78779306,1.394237862,790.3002585,2.897792124,0.006935,0.038354,50.056177,0.000138544,-3.858411212,0.000766219,-3.115647014,seq,Geraniales,156510,433798
Nicotiana_tabacum,29.94831757,1.47637243,637.0850804,2.804197435,24.14339551,1.382798349,513.5980354,2.710623354,0.016321,0.067046,85.476456,0.000190941,-3.719099742,0.00078438,-3.105473635,seq,Other,155939,430597
Pelargonium_australe,3.817733713,0.581805633,96.01760715,1.982350879,5.046999236,0.703033239,126.9341516,2.103578485,0.063992,0.002112,1.985576,0.032228431,-1.491760831,0.001063671,-2.973192601,seq,Geraniales,165508,4096167
Pelargonium_citronellum,7.491853145,0.874589256,174.9908447,2.243015328,10.91573098,1.038052824,254.9640186,2.406478896,0.050859,0.002314,2.533392,0.020075456,-1.697334578,0.0009134,-3.03933904,seq,Geraniales,171223,3621898
Pelargonium_cotyledonis,5.207508699,0.716630004,269.3904726,2.430382232,7.193483555,0.856939255,372.1272583,2.570691483,0.039328,0.00183,1.683093,0.023366504,-1.631406253,0.001087284,-2.963657024,seq,Geraniales,166111,4691851
Pelargonium_exstipulatum,5.187824599,0.714985284,105.6719243,2.023959616,7.468632585,0.873241095,152.1301968,2.182215427,0.020968,0.002112,1.683093,0.012458016,-1.904551106,0.001254833,-2.9014142,seq,Geraniales,168732,7219524
Pelargonium_fulgidum,8.857157186,0.947294352,273.8410307,2.437498521,11.21329519,1.049733255,346.6868938,2.539937424,0.0038,0.01661,6.78031,0.000560446,-3.251465954,0.00244974,-2.610879918,seq,Geraniales,171502,1856797
Pelargonium_hortorum,6.785229688,0.831564554,641.606989,2.807269086,7.223030484,0.858719448,683.0051528,2.83442398,0.094141,0.010098,6.415292,0.014674468,-1.833437621,0.001574052,-2.802981062,seq,Geraniales,217942,10412000
Pelargonium_myrrhifolium,17.54513683,1.24415676,584.9525021,2.767120603,21.19443174,1.326221777,706.6195037,2.84918562,0.15358,0.005278,5.712123,0.026886676,-1.570462887,0.000924,-3.034328165,seq,Geraniales,173272,4827809
Pelargonium_tetragonum,14.54592911,1.162741467,793.4552769,2.899522453,8.186473988,0.913096886,446.5579981,2.649877872,0.045697,0.006623,5.712123,0.008000003,-2.096909861,0.001159464,-2.935742796,seq,Geraniales,173410,19430947
Pelargonium_transvaalense,12.12595206,1.083715847,459.9275634,2.662689438,11.12016443,1.046111209,421.7788515,2.6250848,0.047774,0.005292,6.415292,0.007446894,-2.128024823,0.000824904,-3.083596593,seq,Geraniales,242575,2852583
Picea_abies,20.62493279,1.314392542,1899.720025,3.278689601,20.62493279,1.314392542,1899.720025,3.278689601,0.005676,0.034832,84.705216,6.70E-05,-4.173867767,0.000411214,-3.385931743,c,Gymnosperms,124084,2718734
Plantago_arenaria,9.912187645,0.996169515,212.1985313,2.326742374,13.37318949,1.126234998,286.2911065,2.456807857,0.035291,0.031133,14.503446,0.002433284,-2.613807238,0.002146593,-2.668250231,seq,Plantagineae,149345,562325
Plantago_aristata,12.72082535,1.10451529,380.2152443,2.580029525,5.786525107,0.762417842,172.954584,2.237932077,0.000675,0.004161,2.545653,0.000265158,-3.576495431,0.001634551,-2.786601489,seq,Plantagineae,149910,734316
Plantago_coronopus,12.6239494,1.101195245,545.0495615,2.736435995,8.927552263,0.950732401,385.4545272,2.585973151,0.20848,0.008679,4.162581,0.050084311,-1.300298299,0.002085004,-2.680893009,seq,Plantagineae,159416,15558037
Plantago_crassifolia,8.075747318,0.907182722,439.9318746,2.643385429,6.972807643,0.843407685,379.8484793,2.579610392,0.078042,0.005285,4.162581,0.018748464,-1.727034307,0.001269645,-2.896317706,seq,Plantagineae,157548,2542283
Plantago_depressa,13.55578924,1.132124808,754.8871111,2.87788201,6.883108482,0.837784614,383.3026456,2.583541817,0.032526,0.002297,1.772603,0.018349286,-1.736380822,0.001295834,-2.887450485,seq,Plantagineae,164912,1212933
Plantago_elongata,37.32461861,1.571995379,1055.819493,3.023589676,5.986664893,0.777184949,169.347678,2.228779246,0.375094,0.004904,4.405132,0.085149321,-1.069818809,0.001113247,-2.953408465,seq,Plantagineae,164083,3004374
Plantago_maritima,8.016633074,0.903992006,244.5605409,2.388386386,4.748378655,0.676545344,144.8570792,2.160939724,0.174098,0.00738,5.637525,0.030881992,-1.510294699,0.001309085,-2.883032119,seq,Plantagineae,158358,552022
Plantago_media,6.009038039,0.778804953,310.6987011,2.492339438,3.112698413,0.493137044,160.9427911,2.206671529,0.410769,0.007565,3.258257,0.126070166,-0.899387676,0.002321794,-2.634176405,seq,Plantagineae,164130,162877
Plantago_rigida,14.69279464,1.167104409,210.4185278,2.323083978,6.459743511,0.810215274,92.51131273,1.966194844,0.017602,0.002952,2.95979,0.005947044,-2.225698882,0.000997368,-3.001144545,seq,Plantagineae,164588,3168910
Plantago_rugelii,2.739824633,0.437722766,87.3252264,1.94113972,7.046160691,0.847952543,224.579183,2.351369498,0.028821,0.001641,1.772603,0.01625914,-1.788902435,0.000925757,-3.033502899,seq,Plantagineae,164903,2144598
Plantago_sericea,25.17801948,1.401021565,304.1445906,2.483080097,17.81249499,1.250724755,215.1707762,2.332783287,0.000737,0.003725,2.545653,0.000289513,-3.538331716,0.001463279,-2.834672927,seq,Plantagineae,149710,827953
Plantago_tenuiflora,22.20782461,1.346506019,1454.865811,3.162822938,6.44363007,0.8091306,422.1312647,2.625447519,0.324473,0.004973,4.405132,0.073657952,-1.132780362,0.001128911,-2.947340467,seq,Plantagineae,163739,1771294
Podocarpus_macrophyllus,20.47451492,1.311213621,1278.703723,3.10676993,20.47451492,1.311213621,1278.703723,3.10676993,0.147208,0.145823,240.830738,0.000611251,-3.213780504,0.0006055,-3.217885888,c,Gymnosperms,133850,1183053
Silene_conica,1.51911002,0.181589228,500.6145281,2.699503449,0.813864628,-0.089447826,268.2047063,2.428466394,0.291739,0.014064,11.956624,0.02439978,-1.612614082,0.001176252,-2.929499714,seq,Sileneae,147208,8659358
Silene_latifolia,44.17770596,1.64520316,337.7795983,2.528633415,59.05281174,1.771240581,458.7909952,2.661614885,0.002927,0.007372,11.956624,0.000244802,-3.61118585,0.000616562,-3.210023246,seq,Sileneae,151736,253000
Silene_noctiflora,6.471659253,0.811015643,471.5613665,2.673538218,7.290291334,0.862744884,478.1121311,2.679529763,0.234468,0.015198,11.956427,0.019610206,-1.707517838,0.001271116,-2.895814976,seq,Sileneae,151639,6728000
Silene_vulgaris,28.82389491,1.459752666,173.2992025,2.238796564,27.87640399,1.44523675,167.6025601,2.224280648,0.013346,0.008996,12.240799,0.001090288,-2.962458646,0.000734919,-3.13376032,seq,Sileneae,151583,340203
Taxus_baccata,90.71958447,1.957701052,1586.307521,3.200387383,90.71958447,1.957701052,1586.307521,3.200387383,0.019209,0.0757,172.501305,0.000111356,-3.953287628,0.000438837,-3.357696505,c,Gymnosperms,128653,375440
Welwitschia_mirabilis,80.70311682,1.906890308,2541.421421,3.405076686,80.70311682,1.906890308,2541.421421,3.405076686,0.120924,0.14254,110.621451,0.001093133,-2.961326846,0.001288539,-2.889902596,c,Gymnosperms,119458,1036928
Zamia_integrifolia,61.03695636,1.785592869,1041.553875,3.017681739,61.03695636,1.785592869,1041.553875,3.017681739,0.003257,0.03404,52.603058,6.19E-05,-4.208193233,0.000647111,-3.189021441,c,Gymnosperms,165024,450136
Zea_mays,64.23735362,1.807787641,1215.130747,3.08462301,56.45638889,1.751713096,1067.943963,3.028548465,0.084121,0.243696,210.782857,0.000399088,-3.39893086,0.001156147,-2.936986886,seq,Other,140387,569630