Species,Species_tip_drop,mito_copy,log_mito_copy,log_mito_copy_rank,plastid_copy,log_plastid_copy,mt_ds,pt_ds,time (mya),mt_ds_div_mya,log_mt_ds_div_mya,log_mt_ds_div_mya_rank,pt_ds_div_mya,log_pt_ds_div_mya,nuc_cov_method,Group,big_group,plastome_length,mt_genome_estimate,mt_total_branch_length,log_mt_total_branch_length,pt_total_branch_length,log_pt_total_branch_length,dn/ds,mito_dn,pt_dn,pt_dn_ds,dn_ds_ds
Abies_sibirica,,63.87764836,1.805348919,11.80534892,1000.604152,3.000262301,0.00389,0.029922,84.705216,4.59E-05,-4.337960553,5.662039447,0.000353249,-3.451919536,c,Gymnosperms,gymnosperms,121224,865181,0.0551,-1.258848401,0.19604,-0.707655306,1.255784062,0.004885,0.004215,0.140866252,2.74E+04
Agrostemma_githago,,27.11194453,1.433160667,11.43316067,411.4698245,2.614337991,0.004924,0.043474,32.579262,0.000151139,-3.820623198,6.179376802,0.001334407,-2.874711641,seq,Sileneae,angiosperms,151733,216593,0.1976,-0.70421306,0.47865,-0.319981937,0.252233956,0.001242,0.001013,0.023301284,1.67E+03
Arabidopsis_thaliana,,10.01186813,1.000515121,11.00051512,126.5251203,2.102176759,0.051999,0.158364,105.595831,0.000492434,-3.307651781,6.692348219,0.001499718,-2.82399031,seq,Other,angiosperms,154478,367808,0.1823,-0.739213331,0.44575,-0.350908648,0.356372238,0.018531,0.005997,0.037868455,7.24E+02
Aragoa_cleefii,,39.0118941,1.591197037,11.59119704,161.0217856,2.206884638,0.017407,0.05773,36.85753,0.000472278,-3.325802298,6.674197702,0.001566301,-2.80512467,seq,Plantagineae,angiosperms,150285,354204,0.1974,-0.704652852,0.47331,-0.32485432,0.223300971,0.003887,0.000132,0.002286506,4.73E+02
California_macrophylla,,6.637128514,0.821980227,10.82198023,205.8444153,2.313539089,0.018155,0.032961,31.106014,0.000583649,-3.23384811,6.76615189,0.001059634,-2.974843984,seq,Geraniales,angiosperms,149199,741918,0.2817,-0.550213153,0.49721,-0.303460145,0.188377857,0.00342,0.002891,0.087709718,3.23E+02
Ceratozamia_hildae,,116.6980889,2.067063744,12.06706374,1817.727011,3.259528661,0.001331,0.020808,52.603058,2.53E-05,-4.596832936,5.403167064,0.000395566,-3.402780653,c,Gymnosperms,gymnosperms,165734,208791,0.0506,-1.295849483,0.17978,-0.745258624,1.948910594,0.002594,0.001852,0.089004229,7.70E+04
Cupressus_sempervirens,,22.2175771,1.346696696,11.3466967,429.222547,2.632682527,0.002016,0.006156,19.580369,0.00010296,-3.987330344,6.012669656,0.000314397,-3.502522261,c,Gymnosperms,gymnosperms,129150,2000406,0.1905,-0.72010502,0.25666,-0.59064181,0.639880952,0.00129,0.000789,0.128167641,6.21E+03
Erodium_chrysanthum,,10.88568551,1.036855783,11.03685578,205.5579127,2.312934199,0.001511,0.014627,1.824351,0.00082824,-3.081843935,6.918156065,0.008017646,-2.095953138,seq,Geraniales,angiosperms,168946,263638,0.2725,-0.564633493,0.58958,-0.229457257,0.234943746,0.000355,0.000396,0.027073221,2.84E+02
Erodium_gruinum,,24.72415703,1.393121493,11.39312149,737.4936005,2.867758256,0.001896,0.004062,1.824351,0.001039274,-2.983270066,7.016729934,0.002226545,-2.65236848,seq,Geraniales,angiosperms,142208,247315,0.2729,-0.563996464,0.579015,-0.237310185,0.262130802,0.000497,0.000264,0.064992614,2.52E+02
Erodium_moschatum,,13.66387936,1.135574019,11.13557402,432.666777,2.636153548,0.001898,0.00988,6.78031,0.000279928,-3.552953342,6.447046658,0.001457161,-2.836492606,seq,Geraniales,angiosperms,199078,235082,0.268,-0.571865206,0.5088,-0.293452897,0.179662803,0.000341,0.000395,0.039979757,6.42E+02
Erodium_texanum,,9.889656501,0.995181207,10.99518121,426.3163545,2.629731994,0.007246,0.037605,23.542806,0.00030778,-3.511759894,6.488240106,0.001597303,-2.796612631,seq,Geraniales,angiosperms,130812,506761,0.2723,-0.564952359,0.52515,-0.27971663,0.569693624,0.004128,0.00268,0.071267119,1.85E+03
Erodium_trifolium,,22.19994121,1.346351824,11.34635182,339.5570113,2.530912702,0.0038,0.01661,6.78031,0.000560446,-3.251465954,6.748534046,0.00244974,-2.610879918,seq,Geraniales,angiosperms,123865,242680,0.2699,-0.568797115,0.51553,-0.287746057,0.134736842,0.000512,0.000924,0.055629139,2.40E+02
Francoa_sonchifolia,,11.13139215,1.046549483,11.04654948,156.9964598,2.195889859,0.008518,0.021038,50.056177,0.000170169,-3.769120042,6.230879958,0.000420288,-3.376453227,seq,Geraniales,angiosperms,157312,440156,0.1466,-0.83386603,0.36364,-0.439328351,0.256750411,0.002187,0.00141,0.06702158,1.51E+03
Geranium_brycei,,15.3986784,1.187483449,11.18748345,328.2208759,2.5161662,0.003524,0.002473,1.943769,0.001812973,-2.741608752,7.258391248,0.001272271,-2.895420535,seq,Geraniales,angiosperms,131541,1057616,0.283,-0.548213564,0.50179,-0.299477998,0.513904654,0.001811,0.000164,0.066316215,2.83E+02
Geranium_incanum,,9.358263475,0.971195268,10.97119527,212.2904956,2.326930551,0.00094,0.003455,1.943769,0.000483597,-3.315516798,6.684483202,0.001777475,-2.7501966,seq,Geraniales,angiosperms,166252,752769,0.2804,-0.552221991,0.50277,-0.298630644,0.360638298,0.000339,0.000238,0.068885673,7.46E+02
Geranium_maderense,,13.15677177,1.119149341,11.11914934,241.1053998,2.382206937,0.009616,0.036321,27.130043,0.000354441,-3.450456027,6.549543973,0.001338774,-2.873292685,seq,Geraniales,angiosperms,155694,441181,0.2758,-0.559405738,0.50754,-0.294529725,0.496464226,0.004774,0.004767,0.131246386,1.40E+03
Geranium_phaeum,,38.88388233,1.58976962,11.58976962,648.4677056,2.811888353,0.002279,0.024984,22.736623,0.000100235,-3.998981636,6.001018364,0.001098844,-2.95906399,seq,Geraniales,angiosperms,182317,260444,0.2725,-0.564633493,0.51016,-0.292293596,0.261079421,0.000595,0.001716,0.068683958,2.60E+03
Geranium_sanguineum,,9.767790022,0.989796315,10.98979632,305.6287051,2.485194141,0.003907,0.002616,6.620188,0.000590165,-3.229026911,6.770973089,0.000395155,-3.403232583,seq,Geraniales,angiosperms,134582,934327,0.275,-0.560667306,0.49815,-0.302639865,0.280778091,0.001097,0.000296,0.113149847,4.76E+02
Ginkgo_biloba,,432.0509208,2.635534935,12.63553494,739.0113559,2.868651112,0.041614,0.088172,298.617259,0.000139356,-3.855875442,6.144124558,0.000295268,-3.529784213,c,Gymnosperms,gymnosperms,157002,285030,0.0438,-1.358525889,0.14796,-0.829855677,0.557528716,0.023201,0.007872,0.089280044,4.00E+03
Gnetum_gnemon,,30.00632875,1.477212863,11.47721286,241.1503527,2.382287901,0.038539,0.237857,110.621451,0.000348386,-3.457938909,6.542061091,0.002150189,-2.667523414,c,Gymnosperms,gymnosperms,115022,690722,0.1365,-0.864867349,0.62735,-0.202490098,0.386309972,0.014888,0.012712,0.053443876,1.11E+03
Hesperocyparis_glabra,,47.88702366,1.680217845,11.68021785,656.1408138,2.816997053,0.002392,0.009776,19.580369,0.000122163,-3.913059697,6.086940303,0.000499276,-3.301659679,c,Gymnosperms,gymnosperms,126993,1677809,0.1909,-0.719194072,0.26028,-0.584559202,0.490384615,0.001173,0.001189,0.121624386,4.01E+03
Hypseocharis_biloba,,6.25052016,0.79591616,10.79591616,373.0718457,2.571792476,0.083865,0.069906,65.428589,0.001281779,-2.892186803,7.107813197,0.001068432,-2.971253102,seq,Geraniales,angiosperms,165002,2597472,0.2728,-0.564155634,0.43623,-0.360284471,0.251606749,0.021101,0.002786,0.039853518,1.96E+02
Melianthus_villosus,,24.78779306,1.394237862,11.39423786,790.3002585,2.897792124,0.006935,0.038354,50.056177,0.000138544,-3.858411212,6.141588788,0.000766219,-3.115647014,seq,Geraniales,angiosperms,156510,433798,0.1451,-0.838332588,0.38096,-0.419120622,0.507137707,0.003517,0.001421,0.037049591,3.66E+03
Monsonia_emarginata,,12.37873588,1.092676297,11.0926763,621.3855641,2.79336116,0.009937,0.076476,43.285827,0.000229567,-3.63909043,6.36090957,0.001766768,-2.752820555,seq,Geraniales,angiosperms,156877,543302,0.2656,-0.575771929,0.50892,-0.293350481,0.362986817,0.003607,0.007567,0.098946075,1.58E+03
Nicotiana_tabacum,,24.14339551,1.382798349,11.38279835,513.5980354,2.710623354,0.016321,0.067046,85.476456,0.000190941,-3.719099742,6.280900258,0.00078438,-3.105473635,seq,Other,angiosperms,155939,430597,0.1588,-0.799149502,0.38676,-0.412558448,0.641811164,0.010475,0.002221,0.03312651,3.36E+03
Pelargonium_australe,,5.046999236,0.703033239,10.70303324,126.9341516,2.103578485,0.063992,0.002112,1.985576,0.032228431,-1.491760831,8.508239169,0.001063671,-2.973192601,seq,Geraniales,angiosperms,165508,4096167,1.10201,0.042185535,0.4727,-0.325414398,0.399862483,0.025588,0,0,1.24E+01
Pelargonium_citronellum,,10.91573098,1.038052824,11.03805282,254.9640186,2.406478896,0.050859,0.002314,2.533392,0.020075456,-1.697334578,8.302665422,0.0009134,-3.03933904,seq,Geraniales,angiosperms,171223,3621898,1.03203,0.013692322,0.47361,-0.324579136,0.09325783,0.004743,0.000218,0.094209162,4.65E+00
Pelargonium_cotyledonis,,7.193483555,0.856939255,10.85693926,372.1272583,2.570691483,0.039328,0.00183,1.683093,0.023366504,-1.631406253,8.368593747,0.001087284,-2.963657024,seq,Geraniales,angiosperms,166111,4691851,1.09027,0.037534062,0.47243,-0.325662532,0.349343979,0.013739,0.000264,0.144262295,1.50E+01
Pelargonium_exstipulatum,,7.468632585,0.873241095,10.8732411,152.1301968,2.182215427,0.020968,0.002112,1.683093,0.012458016,-1.904551106,8.095448894,0.001254833,-2.9014142,seq,Geraniales,angiosperms,168732,6228603,1.07191,0.030158323,0.47271,-0.32540521,0.377909195,0.007924,0,0,3.03E+01
Pelargonium_fulgidum,,11.21329519,1.049733255,11.04973326,346.6868938,2.539937424,0.001187,0.008241,2.221834,0.000534243,-3.272260889,6.727739111,0.003709098,-2.430731694,seq,Geraniales,angiosperms,171502,3163681,1.00208,0.000902394,0.48019,-0.318586888,0.930918281,0.001105,0.000878,0.106540468,1.74E+03
Pelargonium_hortorum,,7.223030484,0.858719448,10.85871945,683.0051528,2.83442398,0.094141,0.010098,6.415292,0.014674468,-1.833437621,8.166562379,0.001574052,-2.802981062,seq,Geraniales,angiosperms,217942,9758806,1.20544,0.081145599,0.4743,-0.323946875,0.10944222,0.010303,0.001019,0.100911071,7.46E+00
Pelargonium_myrrhifolium,,21.19443174,1.326221777,11.32622178,706.6195037,2.84918562,0.15358,0.005278,5.712123,0.026886676,-1.570462887,8.429537113,0.000924,-3.034328165,seq,Geraniales,angiosperms,173272,4827809,1.29449,0.1120987,0.46873,-0.32907725,0.127125928,0.019524,0.00066,0.125047366,4.73E+00
Pelargonium_tetragonum,,8.186473988,0.913096886,10.91309689,446.5579981,2.649877872,0.045697,0.006623,5.712123,0.008000003,-2.096909861,7.903090139,0.001159464,-2.935742796,seq,Geraniales,angiosperms,173410,19075420,1.1866,0.074304344,0.47007,-0.327837465,0.197693503,0.009034,0.000396,0.059791635,2.47E+01
Pelargonium_transvaalense,,11.12016443,1.046111209,11.04611121,421.7788515,2.6250848,0.047774,0.005292,6.415292,0.007446894,-2.128024823,7.871975177,0.000824904,-3.083596593,seq,Geraniales,angiosperms,242575,2852583,1.15907,0.064109665,0.4695,-0.328364403,0.126198351,0.006029,0.000433,0.081821618,1.69E+01
Picea_abies,,20.62493279,1.314392542,11.31439254,1899.720025,3.278689601,0.005676,0.034832,84.705216,6.70E-05,-4.173867767,5.826132233,0.000411214,-3.385931743,c,Gymnosperms,gymnosperms,124084,2718734,0.0569,-1.244887734,0.20095,-0.696911989,1.176004228,0.006675,0.004615,0.13249311,1.76E+04
Plantago_arenaria,,13.37318949,1.126234998,11.126235,286.2911065,2.456807857,0.035291,0.031133,14.503446,0.002433284,-2.613807238,7.386192762,0.002146593,-2.668250231,seq,Plantagineae,angiosperms,149345,562325,0.3713,-0.430275051,0.4983,-0.302509113,0.126774532,0.004474,0.000991,0.031831176,5.21E+01
Plantago_aristata,,5.786525107,0.762417842,10.76241784,172.954584,2.237932077,0.000675,0.004161,2.545653,0.000265158,-3.576495431,6.423504569,0.001634551,-2.786601489,seq,Plantagineae,angiosperms,149910,734316,0.3723,-0.429106964,0.49348,-0.306730444,0.441481481,0.000298,0.000645,0.155010815,1.66E+03
Plantago_coronopus,,8.927552263,0.950732401,10.9507324,385.4545272,2.585973151,0.20848,0.008679,4.162581,0.050084311,-1.300298299,8.699701701,0.002085004,-2.680893009,seq,Plantagineae,angiosperms,159416,15558037,0.92088,-0.035796959,0.49023,-0.309600115,0.166131044,0.034635,0.000661,0.076160848,3.32E+00
Plantago_crassifolia,,6.972807643,0.843407685,10.84340769,379.8484793,2.579610392,0.078042,0.005285,4.162581,0.018748464,-1.727034307,8.272965693,0.001269645,-2.896317706,seq,Plantagineae,angiosperms,157548,3585417,0.7904,-0.102153068,0.48684,-0.312613746,0.190115579,0.014837,0.000264,0.049952696,1.01E+01
Plantago_depressa,,6.883108482,0.837784614,10.83778461,383.3026456,2.583541817,0.032526,0.002297,1.772603,0.018349286,-1.736380822,8.263619178,0.001295834,-2.887450485,seq,Plantagineae,angiosperms,164912,1212933,1.41995,0.152273052,0.47475,-0.323535027,0.211799791,0.006889,0.000132,0.05746626,1.15E+01
Plantago_elongata,,5.986664893,0.777184949,10.77718495,169.347678,2.228779246,0.375094,0.004904,4.405132,0.085149321,-1.069818809,8.930181191,0.001113247,-2.953408465,seq,Plantagineae,angiosperms,164083,3004374,1.8906,0.276599654,0.47803,-0.320544847,0.111073491,0.041663,0.000528,0.10766721,1.30E+00
Plantago_maritima,,4.748378655,0.676545344,10.67654534,144.8570792,2.160939724,0.174098,0.00738,5.637525,0.030881992,-1.510294699,8.489705301,0.001309085,-2.883032119,seq,Plantagineae,angiosperms,158358,1219493,0.8362,-0.077689837,0.47719,-0.321308666,0.138037197,0.024032,0.0004,0.054200542,4.47E+00
Plantago_media,,3.112698413,0.493137044,10.49313704,160.9427911,2.206671529,0.410769,0.007565,3.258257,0.126070166,-0.899387676,9.100612324,0.002321794,-2.634176405,seq,Plantagineae,angiosperms,164130,1048742,1.57839,0.198214321,0.47837,-0.320236064,0.065331123,0.026836,0.000132,0.017448777,5.18E-01
Plantago_rigida,,6.459743511,0.810215274,10.81021527,92.51131273,1.966194844,0.017602,0.002952,2.95979,0.005947044,-2.225698882,7.774301118,0.000997368,-3.001144545,seq,Plantagineae,angiosperms,164588,3168910,1.39646,0.1450285,0.47476,-0.323525879,0.482388365,0.008491,0.000264,0.089430894,8.11E+01
Plantago_rugelii,,7.046160691,0.847952543,10.84795254,224.579183,2.351369498,0.028821,0.001641,1.772603,0.01625914,-1.788902435,8.211097565,0.000925757,-3.033502899,seq,Plantagineae,angiosperms,164903,2144598,1.41624,0.151136856,0.47409,-0.324139205,0.355990424,0.01026,0,0,2.19E+01
Plantago_sericea,,17.81249499,1.250724755,11.25072476,215.1707762,2.332783287,0.000737,0.003725,2.545653,0.000289513,-3.538331716,6.461668284,0.001463279,-2.834672927,seq,Plantagineae,angiosperms,149710,827953,0.3724,-0.428990328,0.49305,-0.307109037,0.29036635,0.000214,0.000147,0.039463087,1.00E+03
Plantago_tenuiflora,,6.44363007,0.8091306,10.8091306,422.1312647,2.625447519,0.324473,0.004973,4.405132,0.073657952,-1.132780362,8.867219638,0.001128911,-2.947340467,seq,Plantagineae,angiosperms,163739,1771294,1.839979,0.264812866,0.4781,-0.320481256,0.095752189,0.031069,0.000528,0.106173336,1.30E+00
Podocarpus_macrophyllus,,20.47451492,1.311213621,11.31121362,1278.703723,3.10676993,0.147208,0.145823,240.830738,0.000611251,-3.213780504,6.786219496,0.0006055,-3.217885888,c,Gymnosperms,gymnosperms,133850,1183053,0.2337,-0.631341288,0.25638,-0.591115857,0.312170534,0.045954,0.006803,0.046652449,5.11E+02
Silene_conica,,0.813864628,-0.089447826,9.910552174,268.2047063,2.428466394,0.291739,0.014064,11.956624,0.02439978,-1.612614082,8.387385918,0.001176252,-2.929499714,seq,Sileneae,angiosperms,147208,6722185,0.5757,-0.239803771,0.47057,-0.327375764,0.167694412,0.048923,0.001582,0.112485779,6.87E+00
Silene_latifolia,,59.05281174,1.771240581,11.77124058,458.7909952,2.661614885,0.002927,0.007372,11.956624,0.000244802,-3.61118585,6.38881415,0.000616562,-3.210023246,seq,Sileneae,angiosperms,151736,253000,0.2025,-0.693574972,0.46388,-0.333594352,0.120942945,0.000354,0.000131,0.01776994,4.94E+02
Silene_noctiflora,,7.290291334,0.862744884,10.86274488,478.1121311,2.679529763,0.234468,0.015198,11.956427,0.019610206,-1.707517838,8.292482162,0.001271116,-2.895814976,seq,Sileneae,angiosperms,151639,6728000,0.5184,-0.285335007,0.4717,-0.326334124,0.155117116,0.03637,0,0,7.91E+00
Silene_vulgaris,,27.87640399,1.44523675,11.44523675,167.6025601,2.224280648,0.013346,0.008996,12.240799,0.001090288,-2.962458646,7.037541354,0.000734919,-3.13376032,seq,Sileneae,angiosperms,151583,340203,0.2114,-0.674895017,0.46397,-0.3335101,0.164169039,0.002191,0.000132,0.014673188,1.51E+02
Taxus_baccata,,90.71958447,1.957701052,11.95770105,1586.307521,3.200387383,0.019209,0.0757,172.501305,0.000111356,-3.953287628,6.046712372,0.000438837,-3.357696505,c,Gymnosperms,gymnosperms,128653,375440,0.1709,-0.767257937,0.22551,-0.646834195,1.013951793,0.019477,0.005334,0.070462351,9.11E+03
Viviania_marifolia,,23.06453185,1.362944644,11.36294464,319.523482,2.50450278,0.072634,0.138988,84.632399,0.000858229,-3.06639669,6.93360331,0.001642255,-2.784559346,seq,Geraniales,angiosperms,157291,191916,0.2056,-0.68697689,0.4575,-0.339608902,0.210108214,0.015261,0.007314,0.052623248,2.45E+02
Welwitschia_mirabilis,,80.70311682,1.906890308,11.90689031,2541.421421,3.405076686,0.120924,0.14254,110.621451,0.001093133,-2.961326846,7.038673154,0.001288539,-2.889902596,c,Gymnosperms,gymnosperms,119458,1036928,0.2188,-0.659952682,0.532033,-0.274061429,0.688076809,0.083205,0.008585,0.060228708,6.29E+02
Zamia_integrifolia,,61.03695636,1.785592869,11.78559287,1041.553875,3.017681739,0.003257,0.03404,52.603058,6.19E-05,-4.208193233,5.791806767,0.000647111,-3.189021441,c,Gymnosperms,gymnosperms,165024,450136,0.0525,-1.279840697,0.19301,-0.714420189,1.523487872,0.004962,0.001582,0.046474736,2.46E+04
Zea_mays,,56.45638889,1.751713096,11.7517131,1067.943963,3.028548465,0.084121,0.243696,210.782857,0.000399088,-3.39893086,6.60106914,0.001156147,-2.936986886,seq,Other,angiosperms,140387,569630,0.1968,-0.705974906,0.45384,-0.343097229,0.230941144,0.019427,0.016043,0.06583202,5.79E+02